E_cell=-3.00 Omc=-0.00 Omd=0.50 Ov=0.05  (0.10-0.10-0.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.16  (0.10-0.10-0.30)

E_cell=-3.00 Omc=-0.00 Omd=0.50 Ov=0.29  (0.10-0.10-0.50)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.46  (0.10-0.10-0.70)

E_cell=nan Omc=0.01 Omd=0.40 Ov=0.81  (0.10-0.10-0.90)

E_cell=-3.01 Omc=0.02 Omd=0.48 Ov=0.91  (0.10-0.10-1.10)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.05  (0.10-0.30-0.10)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.16  (0.10-0.30-0.30)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.30  (0.10-0.30-0.50)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.46  (0.10-0.30-0.70)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.65  (0.10-0.30-0.90)

E_cell=-3.01 Omc=0.03 Omd=0.48 Ov=0.87  (0.10-0.30-1.10)

E_cell=-3.00 Omc=0.03 Omd=0.50 Ov=0.05  (0.10-0.50-0.10)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.17  (0.10-0.50-0.30)

E_cell=85889424.79 Omc=0.04 Omd=0.50 Ov=0.31  (0.10-0.50-0.50)

E_cell=nan Omc=0.04 Omd=0.50 Ov=0.49  (0.10-0.50-0.70)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.66  (0.10-0.50-0.90)

E_cell=-3.01 Omc=0.03 Omd=0.48 Ov=0.90  (0.10-0.50-1.10)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.06  (0.10-0.70-0.10)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.17  (0.10-0.70-0.30)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.31  (0.10-0.70-0.50)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.47  (0.10-0.70-0.70)

E_cell=-3.01 Omc=0.05 Omd=0.50 Ov=0.67  (0.10-0.70-0.90)

E_cell=-3.01 Omc=0.05 Omd=0.49 Ov=0.88  (0.10-0.70-1.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.05  (0.30-0.10-0.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.15  (0.30-0.10-0.30)

E_cell=-3.00 Omc=-0.00 Omd=0.50 Ov=0.25  (0.30-0.10-0.50)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.38  (0.30-0.10-0.70)

E_cell=-3.01 Omc=0.01 Omd=0.50 Ov=0.52  (0.30-0.10-0.90)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.66  (0.30-0.10-1.10)

E_cell=nan Omc=0.01 Omd=0.50 Ov=0.05  (0.30-0.30-0.10)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.15  (0.30-0.30-0.30)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.26  (0.30-0.30-0.50)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.38  (0.30-0.30-0.70)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.52  (0.30-0.30-0.90)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.68  (0.30-0.30-1.10)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.05  (0.30-0.50-0.10)

E_cell=-3.00 Omc=0.03 Omd=0.50 Ov=0.16  (0.30-0.50-0.30)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.27  (0.30-0.50-0.50)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.40  (0.30-0.50-0.70)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.54  (0.30-0.50-0.90)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.69  (0.30-0.50-1.10)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.05  (0.30-0.70-0.10)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.16  (0.30-0.70-0.30)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.28  (0.30-0.70-0.50)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.41  (0.30-0.70-0.70)

E_cell=-3.01 Omc=0.06 Omd=0.50 Ov=0.58  (0.30-0.70-0.90)

E_cell=-3.00 Omc=0.06 Omd=0.50 Ov=0.70  (0.30-0.70-1.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.05  (0.50-0.10-0.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.14  (0.50-0.10-0.30)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.25  (0.50-0.10-0.50)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.36  (0.50-0.10-0.70)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.47  (0.50-0.10-0.90)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.62  (0.50-0.10-1.10)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.05  (0.50-0.30-0.10)

E_cell=-1763799.15 Omc=0.01 Omd=0.50 Ov=0.15  (0.50-0.30-0.30)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.25  (0.50-0.30-0.50)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.36  (0.50-0.30-0.70)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.48  (0.50-0.30-0.90)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.62  (0.50-0.30-1.10)

E_cell=nan Omc=0.03 Omd=0.50 Ov=0.17  (0.50-0.50-0.10)

E_cell=-3.00 Omc=0.03 Omd=0.50 Ov=0.15  (0.50-0.50-0.30)

E_cell=-3.00 Omc=0.03 Omd=0.50 Ov=0.26  (0.50-0.50-0.50)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.37  (0.50-0.50-0.70)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.50  (0.50-0.50-0.90)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.63  (0.50-0.50-1.10)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.05  (0.50-0.70-0.10)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.16  (0.50-0.70-0.30)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.26  (0.50-0.70-0.50)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.38  (0.50-0.70-0.70)

E_cell=-3.01 Omc=0.05 Omd=0.50 Ov=0.51  (0.50-0.70-0.90)

E_cell=-3.00 Omc=0.06 Omd=0.50 Ov=0.65  (0.50-0.70-1.10)

E_cell=-3.00 Omc=0.00 Omd=0.50 Ov=0.05  (0.70-0.10-0.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.14  (0.70-0.10-0.30)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.24  (0.70-0.10-0.50)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.34  (0.70-0.10-0.70)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.45  (0.70-0.10-0.90)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.58  (0.70-0.10-1.10)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.06  (0.70-0.30-0.10)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.14  (0.70-0.30-0.30)

E_cell=-3.00 Omc=0.01 Omd=0.50 Ov=0.24  (0.70-0.30-0.50)

E_cell=-3.00 Omc=0.02 Omd=0.50 Ov=0.34  (0.70-0.30-0.70)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.46  (0.70-0.30-0.90)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.61  (0.70-0.30-1.10)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.06  (0.70-0.50-0.10)

E_cell=-3.04 Omc=0.04 Omd=0.50 Ov=0.19  (0.70-0.50-0.30)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.25  (0.70-0.50-0.50)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.35  (0.70-0.50-0.70)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.46  (0.70-0.50-0.90)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.60  (0.70-0.50-1.10)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.05  (0.70-0.70-0.10)

E_cell=186789252858.21 Omc=0.04 Omd=0.50 Ov=0.15  (0.70-0.70-0.30)

E_cell=-3.00 Omc=0.04 Omd=0.50 Ov=0.25  (0.70-0.70-0.50)

E_cell=-3.02 Omc=0.04 Omd=0.50 Ov=0.38  (0.70-0.70-0.70)

E_cell=-3.00 Omc=0.05 Omd=0.50 Ov=0.48  (0.70-0.70-0.90)

E_cell=-3.01 Omc=0.05 Omd=0.50 Ov=0.60  (0.70-0.70-1.10)

