E_cell=-14.20 Omc=0.16 Omd=0.19 Ov=7.30  (0.10-0.10-0.60)

E_cell=-14.81 Omc=0.12 Omd=0.13 Ov=7.61  (0.10-0.10-0.80)

E_cell=-14.96 Omc=0.09 Omd=0.10 Ov=7.79  (0.10-0.10-1.00)

E_cell=-15.04 Omc=0.09 Omd=0.09 Ov=7.84  (0.10-0.10-1.20)

E_cell=-14.00 Omc=0.07 Omd=0.08 Ov=7.89  (0.10-0.10-1.40)

E_cell=-15.25 Omc=0.06 Omd=0.06 Ov=7.89  (0.10-0.10-1.60)

E_cell=-15.09 Omc=0.05 Omd=0.05 Ov=7.93  (0.10-0.10-1.80)

E_cell=-13.13 Omc=0.28 Omd=0.30 Ov=6.56  (0.10-0.30-0.60)

E_cell=-14.09 Omc=0.22 Omd=0.23 Ov=7.13  (0.10-0.30-0.80)

E_cell=-14.52 Omc=0.19 Omd=0.19 Ov=7.44  (0.10-0.30-1.00)

E_cell=-14.74 Omc=0.15 Omd=0.15 Ov=7.63  (0.10-0.30-1.20)

E_cell=-14.76 Omc=0.14 Omd=0.14 Ov=7.69  (0.10-0.30-1.40)

E_cell=-14.91 Omc=0.12 Omd=0.13 Ov=7.78  (0.10-0.30-1.60)

E_cell=-15.36 Omc=0.10 Omd=0.10 Ov=7.83  (0.10-0.30-1.80)

E_cell=-11.92 Omc=0.36 Omd=0.38 Ov=5.70  (0.10-0.50-0.60)

E_cell=-12.88 Omc=0.31 Omd=0.33 Ov=6.41  (0.10-0.50-0.80)

E_cell=-13.65 Omc=0.26 Omd=0.27 Ov=6.93  (0.10-0.50-1.00)

E_cell=-14.13 Omc=0.23 Omd=0.23 Ov=7.23  (0.10-0.50-1.20)

E_cell=-14.50 Omc=0.19 Omd=0.19 Ov=7.47  (0.10-0.50-1.40)

E_cell=-14.56 Omc=0.18 Omd=0.18 Ov=7.53  (0.10-0.50-1.60)

E_cell=-14.63 Omc=0.15 Omd=0.16 Ov=7.67  (0.10-0.50-1.80)

E_cell=-10.70 Omc=0.41 Omd=0.43 Ov=4.90  (0.10-0.70-0.60)

E_cell=-11.94 Omc=0.37 Omd=0.38 Ov=5.78  (0.10-0.70-0.80)

E_cell=-12.96 Omc=0.31 Omd=0.32 Ov=6.45  (0.10-0.70-1.00)

E_cell=-13.35 Omc=0.29 Omd=0.30 Ov=6.74  (0.10-0.70-1.20)

E_cell=-13.87 Omc=0.25 Omd=0.26 Ov=7.09  (0.10-0.70-1.40)

E_cell=-14.03 Omc=0.24 Omd=0.24 Ov=7.24  (0.10-0.70-1.60)

E_cell=-14.32 Omc=0.20 Omd=0.21 Ov=7.41  (0.10-0.70-1.80)

E_cell=-12.80 Omc=0.28 Omd=0.33 Ov=6.27  (0.30-0.10-0.60)

E_cell=-13.97 Omc=0.22 Omd=0.25 Ov=7.04  (0.30-0.10-0.80)

E_cell=-14.33 Omc=0.19 Omd=0.21 Ov=7.33  (0.30-0.10-1.00)

E_cell=-14.51 Omc=0.16 Omd=0.17 Ov=7.54  (0.30-0.10-1.20)

E_cell=-14.83 Omc=0.13 Omd=0.14 Ov=7.67  (0.30-0.10-1.40)

E_cell=-14.86 Omc=0.12 Omd=0.13 Ov=7.72  (0.30-0.10-1.60)

E_cell=nan Omc=0.11 Omd=0.11 Ov=7.80  (0.30-0.10-1.80)

E_cell=-11.44 Omc=0.35 Omd=0.39 Ov=5.39  (0.30-0.30-0.60)

E_cell=-12.89 Omc=0.31 Omd=0.33 Ov=6.38  (0.30-0.30-0.80)

E_cell=-13.52 Omc=0.27 Omd=0.28 Ov=6.85  (0.30-0.30-1.00)

E_cell=-14.17 Omc=0.22 Omd=0.23 Ov=7.23  (0.30-0.30-1.20)

E_cell=-14.48 Omc=0.19 Omd=0.20 Ov=7.44  (0.30-0.30-1.40)

E_cell=-14.53 Omc=0.18 Omd=0.18 Ov=7.51  (0.30-0.30-1.60)

E_cell=-14.65 Omc=0.17 Omd=0.17 Ov=7.62  (0.30-0.30-1.80)

E_cell=-10.60 Omc=0.40 Omd=0.43 Ov=4.78  (0.30-0.50-0.60)

E_cell=-11.71 Omc=0.37 Omd=0.39 Ov=5.65  (0.30-0.50-0.80)

E_cell=-12.68 Omc=0.33 Omd=0.34 Ov=6.30  (0.30-0.50-1.00)

E_cell=-13.49 Omc=0.28 Omd=0.29 Ov=6.81  (0.30-0.50-1.20)

E_cell=-13.82 Omc=0.26 Omd=0.27 Ov=7.02  (0.30-0.50-1.40)

E_cell=-14.12 Omc=0.23 Omd=0.23 Ov=7.25  (0.30-0.50-1.60)

E_cell=-14.31 Omc=0.21 Omd=0.21 Ov=7.42  (0.30-0.50-1.80)

E_cell=-3289705289384.05 Omc=0.43 Omd=0.46 Ov=4.07  (0.30-0.70-0.60)

E_cell=-10.81 Omc=0.41 Omd=0.42 Ov=5.05  (0.30-0.70-0.80)

