E=-30.910  E_cell=-1.932  steps=8  L=4  j=2.00  mc=0.40  md=0.40  v=0.50  run_time=0.5s  2016-10-13 21:20:53

E=-1161.461  E_cell=-72.591  steps=8000  L=4  j=0.50  mc=0.40  md=0.40  v=0.50  run_time=340.1s  2016-10-13 21:31:08

E=205.610  E_cell=12.851  steps=8000  L=4  j=0.50  mc=0.40  md=0.40  v=0.50  run_time=340.6s  2016-10-13 21:39:25

E=1815550612231.117  E_cell=453887653057.779  steps=10000  L=2  j=0.50  mc=0.40  md=0.40  v=0.50  run_time=10.1s  2016-10-13 21:43:14

E=4666802700.167  E_cell=1166700675.042  steps=10000  L=2  j=0.50  mc=0.40  md=0.40  v=0.50  run_time=10.0s  2016-10-13 21:46:59

E=-190.419  E_cell=-11.901  steps=10000  L=4  j=0.50  mc=0.40  md=0.40  v=0.50  run_time=534.6s  2016-10-13 21:58:47

E=-1342.820  E_cell=-83.926  steps=8000  L=4  j=0.20  mc=0.80  md=0.30  v=0.70  run_time=517.1s  2016-10-13 22:01:06

E=-30.933  E_cell=-1.933  steps=10000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=502.8s  2016-10-14 13:09:54

E=-31.181  E_cell=-1.949  steps=20000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=869.4s  2016-10-14 13:17:12

E=-30.936  E_cell=-1.933  steps=20000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=779.0s  2016-10-14 13:30:11

E=-31.042  E_cell=-1.940  steps=20000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=758.8s  2016-10-14 13:40:18

E=-31.015  E_cell=-1.938  steps=20000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=710.6s  2016-10-14 14:03:05

E=17309062.127  E_cell=692362.485  steps=10000  L=5  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=1890.9s  2016-10-14 14:37:39

E=-73.259  E_cell=-2.930  steps=10000  L=5  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=1893.3s  2016-10-14 14:50:38

E=-49.075  E_cell=-3.067  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=424.0s  2016-10-14 15:17:55

E=-46.514  E_cell=-2.907  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=421.4s  2016-10-14 15:24:57

E=-30.135  E_cell=-1.883  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=416.3s  2016-10-14 15:32:52

E=-50.925  E_cell=-3.183  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=418.6s  2016-10-14 15:39:51

E=5.666  E_cell=0.354  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=421.3s  2016-10-14 15:47:24

E=-26.449  E_cell=-1.653  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=432.6s  2016-10-14 15:54:37

E=-31.022  E_cell=-1.939  steps=10000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=389.2s  2016-10-14 16:04:06

E=-28.148  E_cell=-1.759  steps=10000  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=426.5s  2016-10-14 16:13:54

E=100.626  E_cell=6.289  steps=100  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=4.7s  2016-10-14 19:30:03

E=-12.376  E_cell=-0.774  steps=100  L=4  j=0.30  mc=0.80  md=0.80  v=0.70  run_time=4.1s  2016-10-14 19:30:07

E=-31.565  E_cell=-1.973  steps=1000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=39.4s  2016-10-14 19:33:21

E=-30.651  E_cell=-1.916  steps=1000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=40.1s  2016-10-14 19:34:01

E=-30.647  E_cell=-1.915  steps=1000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=40.5s  2016-10-14 19:44:04

E=-30.709  E_cell=-1.919  steps=1000  L=4  j=0.30  mc=0.80  md=0.30  v=0.70  run_time=43.1s  2016-10-14 19:44:48

E=-74.677  E_cell=-4.667  steps=8000  L=4  j=5.00  mc=0.80  md=0.30  v=0.70  run_time=334.3s  2016-10-14 19:55:37

E=-83.033  E_cell=-5.190  steps=8000  L=4  j=8.00  mc=0.20  md=0.20  v=0.70  run_time=668.7s  2016-10-14 20:09:57

E=-1922.365  E_cell=-120.148  steps=8000  L=4  j=8.00  mc=0.20  md=0.20  v=0.70  run_time=658.0s  2016-10-14 20:21:21

E=-95.980  E_cell=-5.999  steps=8000  L=4  j=8.00  mc=0.80  md=0.20  v=0.70  run_time=371.8s  2016-10-14 20:46:25

E=-138.980  E_cell=-8.686  steps=8000  L=4  j=8.00  mc=0.80  md=0.20  v=0.70  run_time=361.3s  2016-10-14 20:54:01

E=-29.854  E_cell=-1.866  steps=10000  L=4  j=0.80  mc=0.60  md=0.20  v=0.70  run_time=529.2s  2016-10-14 21:45:51

E=-30.096  E_cell=-1.881  steps=10000  L=4  j=0.80  mc=0.60  md=0.20  v=0.70  run_time=528.2s  2016-10-14 21:45:54

E=-2519.285  E_cell=-157.455  steps=10000  L=4  j=0.20  mc=0.10  md=0.10  v=0.10  run_time=362.7s  2016-10-15 19:15:16

E=2.669  E_cell=0.167  steps=10000  L=4  j=0.20  mc=0.10  md=0.10  v=0.10  run_time=352.1s  2016-10-15 19:26:50

E=120.761  E_cell=7.548  steps=10000  L=4  j=0.20  mc=0.10  md=0.10  v=0.10  run_time=353.6s  2016-10-15 19:48:15

