E_cell=-4.17 Omc=0.22 Omd=0.50 Ov=1.64  (0.20-0.20-0.20)

E_cell=-5.33 Omc=0.27 Omd=0.46 Ov=3.72  (0.20-0.20-0.40)

E_cell=6400111286.35 Omc=0.26 Omd=0.37 Ov=5.37  (0.20-0.20-0.60)

E_cell=-6.91 Omc=0.23 Omd=0.29 Ov=6.36  (0.20-0.20-0.80)

E_cell=-7.22 Omc=0.19 Omd=0.23 Ov=6.96  (0.20-0.20-1.00)

E_cell=-4.28 Omc=0.32 Omd=0.50 Ov=1.55  (0.20-0.40-0.20)

E_cell=-5.12 Omc=0.33 Omd=0.48 Ov=3.24  (0.20-0.40-0.40)

E_cell=-1408762435117.75 Omc=0.32 Omd=0.42 Ov=4.75  (0.20-0.40-0.60)

E_cell=-6.53 Omc=0.29 Omd=0.36 Ov=5.77  (0.20-0.40-0.80)

E_cell=-6.94 Omc=0.26 Omd=0.30 Ov=6.48  (0.20-0.40-1.00)

E_cell=-4.21 Omc=0.37 Omd=0.50 Ov=1.38  (0.20-0.60-0.20)

E_cell=43133011592.10 Omc=0.38 Omd=0.49 Ov=2.87  (0.20-0.60-0.40)

E_cell=-5.54 Omc=0.38 Omd=0.45 Ov=4.19  (0.20-0.60-0.60)

E_cell=-6.15 Omc=0.34 Omd=0.40 Ov=5.20  (0.20-0.60-0.80)

E_cell=-6.59 Omc=0.31 Omd=0.35 Ov=5.97  (0.20-0.60-1.00)

E_cell=-755776162829.55 Omc=0.41 Omd=0.50 Ov=1.24  (0.20-0.80-0.20)

E_cell=-4.53 Omc=0.41 Omd=0.49 Ov=2.47  (0.20-0.80-0.40)

E_cell=-5.20 Omc=0.40 Omd=0.47 Ov=3.67  (0.20-0.80-0.60)

E_cell=-5.79 Omc=0.38 Omd=0.43 Ov=4.69  (0.20-0.80-0.80)

E_cell=-6.15 Omc=0.36 Omd=0.40 Ov=5.45  (0.20-0.80-1.00)

E_cell=-4.20 Omc=0.44 Omd=0.50 Ov=1.21  (0.20-1.00-0.20)

E_cell=1676477227526.94 Omc=0.43 Omd=0.49 Ov=2.21  (0.20-1.00-0.40)

E_cell=-4.84 Omc=0.43 Omd=0.48 Ov=3.28  (0.20-1.00-0.60)

E_cell=-5.38 Omc=0.41 Omd=0.46 Ov=4.23  (0.20-1.00-0.80)

E_cell=74356427759.06 Omc=0.38 Omd=0.42 Ov=5.01  (0.20-1.00-1.00)

E_cell=-4.00 Omc=0.22 Omd=0.50 Ov=1.22  (0.40-0.20-0.20)

E_cell=-4.78 Omc=0.27 Omd=0.48 Ov=2.74  (0.40-0.20-0.40)

E_cell=-5.65 Omc=0.30 Omd=0.45 Ov=4.24  (0.40-0.20-0.60)

E_cell=-6.46 Omc=0.28 Omd=0.38 Ov=5.45  (0.40-0.20-0.80)

E_cell=-6.84 Omc=0.26 Omd=0.32 Ov=6.26  (0.40-0.20-1.00)

E_cell=-4.19 Omc=0.32 Omd=0.50 Ov=1.25  (0.40-0.40-0.20)

E_cell=-4.73 Omc=0.33 Omd=0.49 Ov=2.56  (0.40-0.40-0.40)

E_cell=-5.46 Omc=0.34 Omd=0.46 Ov=3.90  (0.40-0.40-0.60)

E_cell=3501345690.03 Omc=0.33 Omd=0.41 Ov=4.98  (0.40-0.40-0.80)

E_cell=-6.51 Omc=0.30 Omd=0.36 Ov=5.76  (0.40-0.40-1.00)

E_cell=-4.11 Omc=0.36 Omd=0.50 Ov=1.13  (0.40-0.60-0.20)

E_cell=-4.60 Omc=0.38 Omd=0.49 Ov=2.34  (0.40-0.60-0.40)

